time,seconds_elapsed,dBFS
1708009880951000000,59.733,-9
1708009881064000000,59.846,-8
1708009881180000000,59.962,-3
1708009881295000000,60.077,-7
1708009881413000000,60.195,-2
1708009881529000000,60.311,-6
1708009881646000000,60.42800024414063,-15
1708009881763000000,60.545,-11
1708009881880000000,60.662,-5
1708009882007000000,60.789,-8
1708009882124000000,60.906,-5
1708009882241000000,61.023,-10
1708009882357000000,61.139,-15
1708009882474000000,61.25599975585938,-15
1708009882591000000,61.373,-18
1708009882707000000,61.489,-17
1708009882824000000,61.606,-4
1708009882940000000,61.722,-8
1708009883052000000,61.834,-8
1708009883169000000,61.951,-12
1708009883284000000,62.066,-8
1708009883401000000,62.183,-23
1708009883519000000,62.301,-22
1708009883635000000,62.417,-20
1708009883753000000,62.535,-16
1708009883869000000,62.651,-16
1708009883985000000,62.767,-21
1708009884096000000,62.878,-26
1708009884213000000,62.995,-24
1708009884329000000,63.111,-23
1708009884446000000,63.228000244140624,-26
1708009884562000000,63.34399975585937,-28
1708009884679000000,63.461,-31
1708009884795000000,63.577,-35
1708009884913000000,63.695,-37
1708009885023000000,63.805,-22
1708009885140000000,63.922,-38
1708009885257000000,64.039,-45
1708009885373000000,64.155,-50
1708009885490000000,64.27199975585937,-43
1708009885608000000,64.39,-43
1708009885723000000,64.505,-41
1708009885840000000,64.622,-44
1708009885957000000,64.739,-39
1708009886068000000,64.85,-33
1708009886185000000,64.967,-39
1708009886301000000,65.083,-40
1708009886418000000,65.19999975585938,-47
1708009886533000000,65.315,-49
1708009886650000000,65.43199975585938,-66
1708009886767000000,65.549,-56
1708009886885000000,65.667,-86
1708009887000000000,65.782,-72
1708009887112000000,65.894,-76
1708009887229000000,66.011,-85
1708009887347000000,66.129,-80
1708009887462000000,66.24400024414062,-74
1708009887578000000,66.35999975585938,-68
1708009887696000000,66.478,-97
1708009887812000000,66.594,-93
1708009887928000000,66.71,-103
1708009888044000000,66.826,-91
1708009888156000000,66.938,-88
1708009888273000000,67.055,-92
1708009888389000000,67.171,-77
1708009888505000000,67.287,-59
1708009888621000000,67.403,-72
1708009888738000000,67.51999975585937,-81
1708009888856000000,67.638,-85
1708009888972000000,67.754,-83
1708009889083000000,67.865,-86
1708009889199000000,67.981,-88
1708009889316000000,68.098,-91
1708009889433000000,68.215,-80
1708009889550000000,68.33200024414063,-58
1708009889667000000,68.449,-51
1708009889783000000,68.565,-67
1708009889899000000,68.681,-79
1708009890015000000,68.797,-76
1708009890127000000,68.909,-74
1708009890244000000,69.026,-76
1708009890359000000,69.141,-73
1708009890477000000,69.259,-35
1708009890593000000,69.375,-66
1708009890710000000,69.49200024414063,-80
1708009890827000000,69.609,-88
